date,machine_no,model,diff,spins,big,reg,event_tag,,
2025/3/16,775,ゴーゴージャグラー3,-300,"6,688",26,23,ファン感,0,0
2025/3/16,776,ゴーゴージャグラー3,"1,400","6,803",33,17,ファン感,0,0
2025/3/16,735,ファンキージャグラー,"-1,100","4,261",16,4,ファン感,0,0
2025/3/16,736,ファンキージャグラー,300,"5,877",24,14,ファン感,0,0
2025/3/16,737,ファンキージャグラー,"2,400","7,214",35,23,ファン感,0,0
2025/3/16,738,ファンキージャグラー,"2,800","5,885",36,14,ファン感,0,0
2025/3/16,739,ファンキージャグラー,-100,"5,268",18,16,ファン感,0,0
2025/3/16,740,ファンキージャグラー,"1,800","7,061",35,15,ファン感,0,0
2025/3/16,741,ファンキージャグラー,0,"4,171",16,9,ファン感,0,0
2025/3/16,742,ファンキージャグラー,0,"4,597",19,8,ファン感,0,0
2025/3/16,743,ファンキージャグラー,200,"3,891",15,10,ファン感,0,0
2025/3/16,744,ファンキージャグラー,"2,400","5,733",31,15,ファン感,0,0
2025/3/16,781,ジャグラーガールズ,-500,"4,638",16,8,ファン感,0,0
2025/3/16,782,ジャグラーガールズ,-700,"4,459",15,9,ファン感,0,0
2025/3/16,783,ジャグラーガールズ,"1,000","3,891",20,9,ファン感,0,0
